case,display_name,method,phase,repeat,prompt_index,seed,pipeline_elapsed_s,denoise_elapsed_s,non_denoise_elapsed_s,segment_count,output
lightx2v_cr48,LightX2V-48,lightx2v,warmup,0,0,15000,34.2368109151721,27.711224591359496,6.525586323812604,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr48/lightx2v_cr48_00_seed15000.mp4
lightx2v_cr48,LightX2V-48,lightx2v,measured,0,1,15001,32.19407705962658,27.02473938651383,5.16933767311275,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr48/lightx2v_cr48_01_seed15001.mp4
lightx2v_cr48,LightX2V-48,lightx2v,measured,1,2,15002,32.55326112546027,27.067689089104533,5.485572036355734,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr48/lightx2v_cr48_02_seed15002.mp4
lightx2v_cr48,LightX2V-48,lightx2v,measured,2,3,15003,32.075924664735794,26.981956135481596,5.093968529254198,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr48/lightx2v_cr48_03_seed15003.mp4
lightx2v_cr48,LightX2V-48,lightx2v,measured,3,4,15004,32.19894727692008,26.981569139286876,5.2173781376332045,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr48/lightx2v_cr48_04_seed15004.mp4
lightx2v_cr48,LightX2V-48,lightx2v,measured,4,5,15005,32.322116654366255,27.155086301267147,5.167030353099108,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/lightx2v_cr48/lightx2v_cr48_05_seed15005.mp4
ralu_nt48,RALU-48,ralu,warmup,0,0,15000,33.92055791430175,27.57372396066785,6.3468339536339045,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt48/ralu_nt48_00_seed15000.mp4
ralu_nt48,RALU-48,ralu,measured,0,1,15001,32.50488465279341,27.304927607998252,5.1999570447951555,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt48/ralu_nt48_01_seed15001.mp4
ralu_nt48,RALU-48,ralu,measured,1,2,15002,32.58133796043694,27.08008472248912,5.501253237947822,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt48/ralu_nt48_02_seed15002.mp4
ralu_nt48,RALU-48,ralu,measured,2,3,15003,32.204453479498625,27.14773179963231,5.056721679866314,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt48/ralu_nt48_03_seed15003.mp4
ralu_nt48,RALU-48,ralu,measured,3,4,15004,32.429481195285916,27.086736492812634,5.342744702473283,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt48/ralu_nt48_04_seed15004.mp4
ralu_nt48,RALU-48,ralu,measured,4,5,15005,32.2554247379303,27.050676953047514,5.204747784882784,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt48/ralu_nt48_05_seed15005.mp4
full_lr50_stage2_0hr,Endpoint-0HR,endpoint,warmup,0,0,15000,27.510682744905353,21.180646415799856,6.330036329105496,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/full_lr50_stage2_0hr/full_lr50_stage2_0hr_00_seed15000.mp4
full_lr50_stage2_0hr,Endpoint-0HR,endpoint,measured,0,1,15001,25.888312377035618,20.758600348606706,5.129712028428912,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/full_lr50_stage2_0hr/full_lr50_stage2_0hr_01_seed15001.mp4
full_lr50_stage2_0hr,Endpoint-0HR,endpoint,measured,1,2,15002,26.03625213727355,20.605355320498347,5.430896816775203,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/full_lr50_stage2_0hr/full_lr50_stage2_0hr_02_seed15002.mp4
full_lr50_stage2_0hr,Endpoint-0HR,endpoint,measured,2,3,15003,25.736926471814513,20.5648694075644,5.172057064250112,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/full_lr50_stage2_0hr/full_lr50_stage2_0hr_03_seed15003.mp4
full_lr50_stage2_0hr,Endpoint-0HR,endpoint,measured,3,4,15004,25.83459585532546,20.649842275306582,5.184753580018878,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/full_lr50_stage2_0hr/full_lr50_stage2_0hr_04_seed15004.mp4
